,Credit_HF,Interest_HF,Exchange_HF,Growth_HF,Inflation_HF,Liquidity_HF
000016_SH,0.0,1.0317542748702697,0.1121515810426317,1.2349417431004965,0.04630210259518565,-0.07594165678101028
000300_SH,0.0,0.24129116269412243,0.06839658786029787,1.2668074173202604,0.030242132066889443,-0.02485050159801199
000905_SH,0.0,-0.16290742378016318,0.07972499079682961,1.2147367997669585,-0.06763732338179931,-0.03284083439538664
000852_SH,0.0,-0.33855244355496755,0.041217258292795475,1.139784355700813,-0.07358786381119074,-0.0221738171612003
HSI_HI,0.0,0.01356352565163721,-0.05864070493582045,1.60454698357482,-0.02014445140445094,-0.005305583780046752
CBA00601_CS,-0.0046933282051034005,-0.9967958928474905,0.000202984086226523,3.2639298444169514e-05,5.3510671511153324e-05,0.00014255883317088606
CBA02001_CS,-0.14641336982327724,-0.6033782539939937,0.0020199119258026434,0.0029166503153736814,-0.001353645430585063,-0.00031449021229370617
000832_CSI,0.0,-0.6445567270032829,-0.019569572738126692,0.553579324950236,0.01162561801224859,-0.028380908409655885
NH0200_NHF,0.0,0.41336145504017674,-0.11723324272181074,0.698769027409804,-0.0672261186345244,-0.03135853508137104
NH0300_NHF,0.0,0.11642673347222902,-0.034501041253430315,0.22615174594823262,-0.016441492565670554,-0.03232904196646039
B_IPE,0.0,1.3157252352955415,-0.06704956668861685,1.0637484979392724,0.029829592060271956,-0.06258407963080773
AU9999_SGE,0.0,-0.573223895949407,-0.4812452162002101,-0.025982806817627,0.006446113325516194,-0.03472139479997324
SPX_GI,0.0,0.08057361057398815,0.18769214597963627,0.7695307625527426,0.002379985768985026,-0.013340704640984809
USDCH_FX,0.0,-0.04082345642329956,0.17432003373747149,-0.07481947238402822,0.006381963067714894,-0.005899392141355783
